Date,Product_ID,Product_Name,Product_Category,Product_Cost,Product_Price,Units,Actual_Product_Price,Revenue,xRevenue,Profit
2022-01-01,1,Action Figure,Toys,9.99,15.99,87,15.83,1377.21,1391.13,508.08
2022-01-01,2,Animal Figures,Toys,9.99,12.99,70,12.98,908.6,909.3000000000001,209.3
2022-01-01,3,Barrel O' Slime,Art & Crafts,1.99,3.99,9,3.96,35.64,35.910000000000004,17.73
2022-01-01,4,Chutes & Ladders,Games,9.99,12.99,17,12.39,210.63,220.83,40.800000000000004
2022-01-01,5,Classic Dominoes,Games,7.99,9.99,25,9.88,247.00000000000003,249.75,47.250000000000014
2022-01-01,6,Colorbuds,Electronics,6.99,14.99,147,14.36,2110.92,2203.53,1083.3899999999999
2022-01-01,7,Dart Gun,Sports & Outdoors,11.99,15.99,31,14.97,464.07,495.69,92.38000000000001
2022-01-01,8,Deck Of Cards,Games,3.99,6.99,372,6.74,2507.28,2600.28,1023.0
2022-01-01,9,Dino Egg,Toys,9.99,10.99,98,10.31,1010.38,1077.02,31.360000000000028
2022-01-01,10,Dinosaur Figures,Toys,10.99,14.99,18,13.97,251.46,269.82,53.64000000000001
2022-01-01,14,Glass Marbles,Games,5.99,10.99,34,10.7,363.79999999999995,373.66,160.13999999999996
2022-01-01,17,Kids Makeup Kit,Art & Crafts,13.99,19.99,40,18.67,746.8000000000001,799.5999999999999,187.20000000000005
2022-01-01,18,Lego Bricks,Toys,34.99,38.99,86,38.73,3330.7799999999997,3353.1400000000003,321.63999999999953
2022-01-01,20,Mini Basketball Hoop,Sports & Outdoors,8.99,23.99,26,23.949999999999996,622.6999999999999,623.74,388.96
2022-01-01,21,Mini Ping Pong Set,Sports & Outdoors,6.99,9.99,51,9.35,476.84999999999997,509.49,120.35999999999997
2022-01-01,22,Monopoly,Games,13.99,18.99,34,18.98,645.3199999999999,645.66,169.66
2022-01-01,24,Nerf Gun,Sports & Outdoors,14.99,18.99,73,18.23,1330.79,1386.27,236.52
2022-01-01,25,PlayDoh Can,Art & Crafts,1.99,2.99,5,2.9,14.5,14.950000000000001,4.55
2022-01-01,27,PlayDoh Toolkit,Art & Crafts,3.49,4.49,27,4.31,116.36999999999999,121.23,22.139999999999983
2022-01-01,30,Rubik's Cube,Games,16.99,18.99,38,18.05,685.9,721.6199999999999,40.280000000000086
2022-01-01,31,Splash Balls,Sports & Outdoors,7.99,8.99,88,8.82,776.1600000000001,791.12,73.04
2022-01-01,33,Teddy Bear,Toys,10.99,12.49,23,12.39,284.97,287.27,32.20000000000001
2022-01-01,34,Toy Robot,Electronics,20.99,25.99,57,25.73,1466.61,1481.4299999999998,270.1800000000001
2022-01-01,35,Uno Card Game,Games,3.99,7.99,29,7.94,230.26000000000002,231.71,114.55000000000001
2022-01-02,1,Action Figure,Toys,9.99,15.99,193,14.979999999999999,2891.14,3086.07,963.07
2022-01-02,2,Animal Figures,Toys,9.99,12.99,26,12.53,325.78,337.74,66.03999999999998
2022-01-02,4,Chutes & Ladders,Games,9.99,12.99,43,12.389999999999999,532.77,558.57,103.20000000000002
2022-01-02,6,Colorbuds,Electronics,6.99,14.99,427,14.66,6259.820000000001,6400.73,3275.0899999999997
2022-01-02,7,Dart Gun,Sports & Outdoors,11.99,15.99,59,15.58,919.22,943.41,211.81
2022-01-02,8,Deck Of Cards,Games,3.99,6.99,120,6.6,791.9999999999999,838.8,313.19999999999993
2022-01-02,9,Dino Egg,Toys,9.99,10.99,36,10.96,394.56000000000006,395.64,34.92000000000002
2022-01-02,10,Dinosaur Figures,Toys,10.99,14.99,50,14.25,712.5,749.5,163.0
2022-01-02,14,Glass Marbles,Games,5.99,10.99,51,10.25,522.75,560.49,217.26
2022-01-02,17,Kids Makeup Kit,Art & Crafts,13.99,19.99,3,19.98,59.94,59.97,17.97
2022-01-02,18,Lego Bricks,Toys,34.99,38.99,55,37.97,2088.35,2144.4500000000003,163.89999999999984
2022-01-02,21,Mini Ping Pong Set,Sports & Outdoors,6.99,9.99,32,9.61,307.52,319.68,83.83999999999997
2022-01-02,24,Nerf Gun,Sports & Outdoors,14.99,18.99,12,18.63,223.56,227.88,43.679999999999986
2022-01-02,25,PlayDoh Can,Art & Crafts,1.99,2.99,46,2.91,133.86,137.54000000000002,42.32000000000001
2022-01-02,27,PlayDoh Toolkit,Art & Crafts,3.49,4.49,94,4.49,422.06,422.06,94.0
2022-01-02,30,Rubik's Cube,Games,16.99,18.99,46,18.99,873.54,873.54,92.0
2022-01-02,31,Splash Balls,Sports & Outdoors,7.99,8.99,71,8.39,595.69,638.29,28.400000000000027
2022-01-02,33,Teddy Bear,Toys,10.99,12.49,15,11.85,177.75,187.35,12.899999999999991
2022-01-02,34,Toy Robot,Electronics,20.99,25.99,27,25.94,700.38,701.7299999999999,133.6500000000001
2022-01-03,1,Action Figure,Toys,9.99,15.99,22,15.390000000000002,338.58000000000004,351.78000000000003,118.80000000000001
2022-01-03,2,Animal Figures,Toys,9.99,12.99,26,12.46,323.96000000000004,337.74,64.22000000000001
2022-01-03,3,Barrel O' Slime,Art & Crafts,1.99,3.99,11,3.75,41.25,43.89,19.36
2022-01-03,4,Chutes & Ladders,Games,9.99,12.99,8,12.31,98.48,103.92,18.560000000000002
2022-01-03,5,Classic Dominoes,Games,7.99,9.99,3,9.84,29.52,29.97,5.549999999999999
2022-01-03,6,Colorbuds,Electronics,6.99,14.99,168,14.8,2486.4,2518.32,1312.0800000000002
2022-01-03,7,Dart Gun,Sports & Outdoors,11.99,15.99,75,15.93,1194.75,1199.25,295.49999999999994
2022-01-03,8,Deck Of Cards,Games,3.99,6.99,53,6.860000000000001,363.58000000000004,370.47,152.11
2022-01-03,9,Dino Egg,Toys,9.99,10.99,28,10.99,307.72,307.72,28.0
2022-01-03,10,Dinosaur Figures,Toys,10.99,14.99,26,14.97,389.22,389.74,103.48000000000002
2022-01-03,14,Glass Marbles,Games,5.99,10.99,27,10.68,288.36,296.73,126.62999999999998
2022-01-03,17,Kids Makeup Kit,Art & Crafts,13.99,19.99,41,19.359999999999996,793.76,819.5899999999999,220.16999999999996
2022-01-03,18,Lego Bricks,Toys,34.99,38.99,69,37.59,2593.71,2690.31,179.4000000000001
2022-01-03,21,Mini Ping Pong Set,Sports & Outdoors,6.99,9.99,8,9.9,79.2,79.92,23.28
2022-01-03,22,Monopoly,Games,13.99,18.99,11,18.14,199.54000000000002,208.89,45.650000000000006
2022-01-03,24,Nerf Gun,Sports & Outdoors,14.99,18.99,29,18.93,548.97,550.7099999999999,114.25999999999999
2022-01-03,25,PlayDoh Can,Art & Crafts,1.99,2.99,15,2.9599999999999995,44.4,44.85,14.55
2022-01-03,27,PlayDoh Toolkit,Art & Crafts,3.49,4.49,35,4.49,157.15,157.15,35.0
2022-01-03,30,Rubik's Cube,Games,16.99,18.99,20,18.91,378.2,379.79999999999995,38.400000000000034
2022-01-03,31,Splash Balls,Sports & Outdoors,7.99,8.99,43,8.98,386.14000000000004,386.57,42.57000000000001
2022-01-03,33,Teddy Bear,Toys,10.99,12.49,18,12.45,224.1,224.82,26.279999999999983
2022-01-03,35,Uno Card Game,Games,3.99,7.99,14,7.79,109.06,111.86,53.199999999999996
2022-01-04,1,Action Figure,Toys,9.99,15.99,58,15.59,904.22,927.42,324.79999999999995
2022-01-04,2,Animal Figures,Toys,9.99,12.99,56,12.7,711.1999999999999,727.44,151.75999999999993
2022-01-04,3,Barrel O' Slime,Art & Crafts,1.99,3.99,21,3.78,79.38,83.79,37.589999999999996
2022-01-04,6,Colorbuds,Electronics,6.99,14.99,250,14.13,3532.5,3747.5,1785.0000000000002
2022-01-04,7,Dart Gun,Sports & Outdoors,11.99,15.99,29,15.48,448.92,463.71,101.21000000000001
2022-01-04,8,Deck Of Cards,Games,3.99,6.99,88,6.849999999999999,602.8,615.12,251.67999999999995
2022-01-04,9,Dino Egg,Toys,9.99,10.99,22,10.57,232.54000000000002,241.78,12.760000000000002
2022-01-04,10,Dinosaur Figures,Toys,10.99,14.99,59,14.1,831.9,884.41,183.48999999999995
2022-01-04,14,Glass Marbles,Games,5.99,10.99,22,10.94,240.67999999999998,241.78,108.89999999999998
2022-01-04,17,Kids Makeup Kit,Art & Crafts,13.99,19.99,70,19.71,1379.7,1399.3,400.40000000000003
2022-01-04,18,Lego Bricks,Toys,34.99,38.99,43,38.79,1667.97,1676.57,163.39999999999986
2022-01-04,20,Mini Basketball Hoop,Sports & Outdoors,8.99,23.99,56,23.63,1323.28,1343.4399999999998,819.8399999999999
2022-01-04,21,Mini Ping Pong Set,Sports & Outdoors,6.99,9.99,41,9.93,407.13,409.59,120.53999999999998
2022-01-04,22,Monopoly,Games,13.99,18.99,4,18.93,75.72,75.96,19.759999999999998
2022-01-04,24,Nerf Gun,Sports & Outdoors,14.99,18.99,12,17.97,215.64,227.88,35.759999999999984
2022-01-04,25,PlayDoh Can,Art & Crafts,1.99,2.99,35,2.84,99.39999999999999,104.65,29.749999999999996
2022-01-04,27,PlayDoh Toolkit,Art & Crafts,3.49,4.49,9,4.45,40.050000000000004,40.410000000000004,8.64
2022-01-04,30,Rubik's Cube,Games,16.99,18.99,33,18.26,602.58,626.67,41.9100000000001
2022-01-04,31,Splash Balls,Sports & Outdoors,7.99,8.99,31,8.99,278.69,278.69,31.0
2022-01-04,34,Toy Robot,Electronics,20.99,25.99,21,25.01,525.21,545.79,84.42000000000007
2022-01-05,1,Action Figure,Toys,9.99,15.99,160,15.96,2553.6000000000004,2558.4,955.2000000000002
2022-01-05,2,Animal Figures,Toys,9.99,12.99,27,12.45,336.15,350.73,66.41999999999997
2022-01-05,4,Chutes & Ladders,Games,9.99,12.99,6,12.75,76.5,77.94,16.56
2022-01-05,5,Classic Dominoes,Games,7.99,9.99,30,9.37,281.09999999999997,299.7,41.39999999999997
2022-01-05,6,Colorbuds,Electronics,6.99,14.99,314,14.98,4703.72,4706.86,2508.86
2022-01-05,7,Dart Gun,Sports & Outdoors,11.99,15.99,67,15.56,1042.52,1071.33,239.19000000000003
2022-01-05,8,Deck Of Cards,Games,3.99,6.99,116,6.98,809.6800000000001,810.84,346.84000000000003
2022-01-05,9,Dino Egg,Toys,9.99,10.99,125,10.74,1342.5,1373.75,93.75
2022-01-05,10,Dinosaur Figures,Toys,10.99,14.99,21,14.199999999999998,298.2,314.79,67.40999999999998
2022-01-05,14,Glass Marbles,Games,5.99,10.99,46,10.68,491.28,505.54,215.73999999999998
2022-01-05,17,Kids Makeup Kit,Art & Crafts,13.99,19.99,56,18.94,1060.64,1119.4399999999998,277.20000000000005
2022-01-05,18,Lego Bricks,Toys,34.99,38.99,45,38.52,1733.4,1754.5500000000002,158.85000000000005
2022-01-05,21,Mini Ping Pong Set,Sports & Outdoors,6.99,9.99,34,9.9,336.6,339.66,98.94
2022-01-05,24,Nerf Gun,Sports & Outdoors,14.99,18.99,21,17.96,377.16,398.78999999999996,62.37000000000001
2022-01-05,25,PlayDoh Can,Art & Crafts,1.99,2.99,41,2.94,120.53999999999999,122.59,38.949999999999996
2022-01-05,27,PlayDoh Toolkit,Art & Crafts,3.49,4.49,81,4.21,341.01,363.69,58.31999999999998
2022-01-05,30,Rubik's Cube,Games,16.99,18.99,120,18.86,2263.2,2278.7999999999997,224.40000000000012
2022-01-05,31,Splash Balls,Sports & Outdoors,7.99,8.99,26,8.62,224.11999999999998,233.74,16.379999999999974
2022-01-05,34,Toy Robot,Electronics,20.99,25.99,34,25.72,874.48,883.66,160.82000000000002
2022-01-06,1,Action Figure,Toys,9.99,15.99,219,15.96,3495.2400000000002,3501.81,1307.43
2022-01-06,2,Animal Figures,Toys,9.99,12.99,81,12.77,1034.37,1052.19,225.17999999999995
2022-01-06,5,Classic Dominoes,Games,7.99,9.99,11,9.89,108.79,109.89,20.900000000000006
2022-01-06,6,Colorbuds,Electronics,6.99,14.99,189,14.74,2785.86,2833.11,1464.75
2022-01-06,7,Dart Gun,Sports & Outdoors,11.99,15.99,235,15.85,3724.75,3757.65,907.0999999999999
2022-01-06,8,Deck Of Cards,Games,3.99,6.99,110,6.89,757.9,768.9,318.99999999999994
2022-01-06,9,Dino Egg,Toys,9.99,10.99,145,10.44,1513.8,1593.55,65.2499999999999
2022-01-06,10,Dinosaur Figures,Toys,10.99,14.99,67,14.71,985.57,1004.33,249.24000000000004
2022-01-06,14,Glass Marbles,Games,5.99,10.99,83,10.77,893.91,912.17,396.73999999999995
2022-01-06,17,Kids Makeup Kit,Art & Crafts,13.99,19.99,114,19.95,2274.2999999999997,2278.8599999999997,679.4399999999998
2022-01-06,18,Lego Bricks,Toys,34.99,38.99,39,38.95,1519.0500000000002,1520.6100000000001,154.44000000000003
2022-01-06,20,Mini Basketball Hoop,Sports & Outdoors,8.99,23.99,7,22.330000000000002,156.31,167.92999999999998,93.37999999999998
2022-01-06,21,Mini Ping Pong Set,Sports & Outdoors,6.99,9.99,56,9.57,535.9200000000001,559.44,144.48000000000002
2022-01-06,22,Monopoly,Games,13.99,18.99,1,18.28,18.28,18.99,4.290000000000001
2022-01-06,24,Nerf Gun,Sports & Outdoors,14.99,18.99,79,17.98,1420.42,1500.2099999999998,236.21
2022-01-06,25,PlayDoh Can,Art & Crafts,1.99,2.99,24,2.79,66.96000000000001,71.76,19.200000000000003
2022-01-06,27,PlayDoh Toolkit,Art & Crafts,3.49,4.49,132,4.35,574.1999999999999,592.6800000000001,113.51999999999992
2022-01-06,30,Rubik's Cube,Games,16.99,18.99,67,18.98,1271.66,1272.33,133.33000000000013
2022-01-06,31,Splash Balls,Sports & Outdoors,7.99,8.99,13,8.58,111.54,116.87,7.669999999999998
